Detector Type,Descriptor Type,Image,TTC Lidar,TTC Camera,TTC Absolute Difference
ORB,FREAK,0010.png,11.8642,24.4419,12.5777
ORB,FREAK,0011.png,11.9682,8.12118,3.84702
ORB,FREAK,0012.png,9.88711,8.31342,1.57369
ORB,FREAK,0013.png,9.42504,8.78669,0.63835
ORB,FREAK,0014.png,9.30215,9.3101,0.00795389
ORB,FREAK,0015.png,8.3212,8.46553,0.144327
ORB,FREAK,0016.png,8.89867,7.76548,1.1332
ORB,FREAK,0017.png,11.0301,11.3219,0.291805
ORB,FREAK,0018.png,8.53557,11.5987,3.06318
ORB,SIFT,0001.png,12.2891,-0.284591,12.5737
ORB,SIFT,0002.png,13.3547,20.5211,7.16638
ORB,SIFT,0003.png,16.3845,13.0095,3.37492
ORB,SIFT,0004.png,14.0764,-inf,inf
ORB,SIFT,0005.png,12.7299,-2.13001,14.86
ORB,SIFT,0006.png,13.7511,-inf,inf
ORB,SIFT,0007.png,13.7314,20.0919,6.36046
ORB,SIFT,0008.png,13.7901,10.6807,3.10941
ORB,SIFT,0009.png,12.059,13.0754,1.01639
ORB,SIFT,0010.png,11.8642,11.1002,0.763954
ORB,SIFT,0011.png,11.9682,8.64067,3.32753
ORB,SIFT,0012.png,9.88711,-inf,inf
ORB,SIFT,0013.png,9.42504,-0.447466,9.8725
ORB,SIFT,0014.png,9.30215,35.8137,26.5116
ORB,SIFT,0015.png,8.3212,13.6989,5.37774
ORB,SIFT,0016.png,8.89867,8.20377,0.694906
ORB,SIFT,0017.png,11.0301,9.02847,2.00164
ORB,SIFT,0018.png,8.53557,22.5612,14.0256
AKAZE,BRISK,0001.png,12.2891,12.9179,0.628767
AKAZE,BRISK,0002.png,13.3547,13.3485,0.00626859
AKAZE,BRISK,0003.png,16.3845,13.515,2.86941
AKAZE,BRISK,0004.png,14.0764,13.5135,0.562951
AKAZE,BRISK,0005.png,12.7299,13.0401,0.31013
AKAZE,BRISK,0006.png,13.7511,12.7611,0.989971
AKAZE,BRISK,0007.png,13.7314,16.6354,2.90394
AKAZE,BRISK,0008.png,13.7901,13.244,0.546123
AKAZE,BRISK,0009.png,12.059,13.3207,1.26174
