Detector Type,Descriptor Type,No. of Keypoints,Image
SIFT,FREAK,545,0007.png
SIFT,FREAK,518,0008.png
SIFT,FREAK,537,0009.png
SIFT,SIFT,803,0001.png
SIFT,SIFT,781,0002.png
SIFT,SIFT,759,0003.png
SIFT,SIFT,754,0004.png
SIFT,SIFT,755,0005.png
SIFT,SIFT,738,0006.png
SIFT,SIFT,743,0007.png
SIFT,SIFT,814,0008.png
SIFT,SIFT,815,0009.png
